Composition,log_H2_W% (max),temperature(K),MagpieData mean Column,VEC mean,MagpieData mean Number,MagpieData mode CovalentRadius,MagpieData mean MendeleevNumber,Mixing enthalpy,Mean cohesive energy,MagpieData mode Number,MagpieData mode NdValence,MagpieData mean NsValence,MagpieData avg_dev CovalentRadius,MagpieData avg_dev AtomicWeight,MagpieData mean CovalentRadius,MagpieData range Electronegativity,MagpieData mean SpaceGroupNumber,MagpieData avg_dev NValence,Shear modulus local mismatch,Miedema_deltaH_ss_min,MagpieData avg_dev MendeleevNumber,Shear modulus mean,MagpieData mean GSvolume_pa,Thermal_Enthalpy_Interaction,Valence_Electron_Concentration,Electromechanical_Mismatch,Atomic_Deviation_Ratio,Squared_Electronegativity_Range,Group_Valence_Product,Temperature_Normalized_by_Mendeleev,Mismatch_Enthalpy_Ratio,Covalent_Deviation_Squared,Atomic_Weight_Deviation_Product,H2_W% (max)
Mg0.996Ni0.004,1.7227665977411035,573,2.032,2.032,12.064,141,67.972,0.063744,1.52172,12,0,2.0,0.135456,0.274006771,140.932,0.6,194.124,0.063744,0.22983696,0.001190559,0.055776,17.59076,22.83972,0.682190307,0.1657824933687002,0.137902176,0.4943527472173306,0.36,4.064,8.429941740716766,0.005180015433549,0.0183483279359999,3.305617685344,4.6
Mg0.879Ni0.121,1.9021075263969205,596,2.968,2.968,13.936,141,67.153,1.701744,1.86453,12,0,2.0,3.616206,7.315031671,138.943,0.6,197.751,1.701744,6.13585071,0.023548085,1.489026,24.34049,21.36903,14.03465866,0.1435132032146957,3.681510426,0.4943527468700142,0.36,5.936,8.875255014667996,0.0038377864966013,13.076945834436,101.942281367056,5.700000000000001
Mg0.882Cu0.118,1.840549633397487,603,3.062,3.062,14.006,141,67.528,1.248912,1.74364,12,0,1.882,1.873368,8.168092632,139.938,0.59,197.658,1.873368,2.89019052,-0.001835561,0.832608,20.63686,21.49524,-1.106843283,0.1343709838640582,1.7052124068,0.2293519533141357,0.3480999999999999,5.762683999999999,8.929629190854163,-0.0006351003462567,3.509507663424,114.402305403792,5.299999999999999
Mg0.748La0.042Ni0.21,1.6094379124341005,573,3.722,3.722,17.25,141,64.22,4.345488,2.24962,12,0,2.0,6.80484,18.00403648,140.202,0.81,200.51,2.63676,9.6693492,-0.019497572,5.65488,29.372,20.838615,-11.172108756,0.1159420289855072,7.832172852,0.3779619091285023,0.6561000000000001,7.444,8.922454064154469,-0.0020164306404406,46.30584742560001,310.56962928,4.000000000000001
Mg0.733Zr0.089Fe0.124Cr0.053,1.4816045409242156,573,3.135135135,3.135135135,16.86886887,141,63.24024024,10.50410972,2.413513514,12,0,1.946946947,5.736302869,16.64948237,142.8058058,0.52,200.2012012,1.665773882,11.95298542,0.07185781,6.9847926,32.08900901,20.7871021,41.17452513,0.115416567761843,6.2155524184,0.3445334059956123,0.2704,6.103941779520683,9.060686642325129,0.0060117039781346,32.905170604897634,280.85793485290685,3.4000000000000004
Mg0.976V0.024,1.88706964903238,573,2.072,2.072,12.264,141,67.472,2.155008,1.6012,12,0,2.0,0.562176,1.247866752,141.288,0.32,194.84,0.140544,0.68257536,0.026092987,1.030656,18.05936,22.65288,14.951281551,0.1630789302022179,0.2184241152,0.4505096390291517,0.1024,4.144,8.492411667061893,0.0382272618220499,0.316041854976,15.303837846528,5.6000000000000005
Mg0.976V0.024,1.916922612182061,583,2.072,2.072,12.264,141,67.472,2.155008,1.6012,12,0,2.0,0.562176,1.247866752,141.288,0.32,194.84,0.140544,0.68257536,0.026092987,1.030656,18.05936,22.65288,15.212211421,0.1630789302022179,0.2184241152,0.4505096390291517,0.1024,4.144,8.640621294759308,0.0382272618220499,0.316041854976,15.303837846528,5.800000000000001
Mg0.335Al0.622La0.044,0.9932517730102832,623,8.879120879,2.665334665,14.5994006,121,68.68931069,6.227155462,2.808301698,13,0,2.0,13.01605088,9.48570926,131.4735265,0.51,213.2627373,0.445328897,2.274475115,-0.19102856,5.357140362,22.98763237,19.52267732,-119.01079288,0.1369919255452172,1.15998230865,1.3721747655588592,0.2601,17.758241758,9.069824602137087,-0.083987975397128,169.41758051074876,138.48566946186955,1.6999999999999997
Mg0.345Al0.609La0.044,1.1314021114911006,623,8.756513026,2.654308617,14.59418838,121,68.62625251,6.203661833,2.787715431,13,0,2.0,13.06532102,9.515521625,131.7054108,0.51,212.9168337,0.452377701,2.298622726,-0.192851438,5.337900249,22.88431864,19.5960521,-120.146445874,0.1370408513255055,1.17229759026,1.3730535786575968,0.2601,17.513026052,9.078158535747212,-0.0838986910808085,170.70261335565385,138.8713151292137,2.1
Mg0.56Al0.34La0.05Y0.05,1.410986973710262,583,5.84,2.44,15.94,141,64.15,8.1472,2.4402,12,0,2.0,12.886,15.94611418,139.95,0.51,204.54,0.4928,2.301527,-0.229892256,10.33,20.7977,21.884725,-134.027185248,0.1254705144291091,1.17377877,0.8080965591079192,0.2601,11.68,9.088074824629771,-0.0998868386075853,166.048996,254.1810600292,3.0999999999999996
