Composition,Alloy_class,Dataset,H2_W% (max),temperature(K),Citation
Mg1.5Ni1,Mg,HydPark,2.6,573,DOE_data_url
Mg0.872Al0.128,Mg,HydPark,6.7,625,DOE_data_url
Mg0.996Ni0.004,Mg,HydPark,4.6,573,DOE_data_url
Mg0.807Al0.193,Mg,HydPark,6.6,625,DOE_data_url
Mg0.879Ni0.121,Mg,HydPark,5.7,596,DOE_data_url
Mg0.882Cu0.118,Mg,HydPark,5.3,603,DOE_data_url
Mg0.874La0.021Ni0.105,Mg,HydPark,5.3,583,DOE_data_url
Mg0.874La0.021Ni0.105,Mg,HydPark,5.1,573,DOE_data_url
Mg0.748La0.042Ni0.21,Mg,HydPark,4,573,DOE_data_url
Mg0.733Zr0.089Fe0.124Cr0.053,Mg,HydPark,3.4,573,DOE_data_url
Mg0.979Ni0.021,Mg,HydPark,5.9,573,DOE_data_url
Mg0.992Tm0.008,Mg,HydPark,4.8,573,DOE_data_url
Mg0.976V0.024,Mg,HydPark,5.6,573,DOE_data_url
Mg0.976V0.024,Mg,HydPark,5.8,583,DOE_data_url
Mg0.335Al0.622La0.044,Mg,HydPark,1.7,623,DOE_data_url
Mg0.345Al0.609La0.044,Mg,HydPark,2.1,623,DOE_data_url
Mg0.364Al0.591La0.046,Mg,HydPark,2.3,623,DOE_data_url
Mg0.56Al0.34La0.05Y0.05,Mg,HydPark,3.1,583,DOE_data_url
Mg0.56Al0.34La0.1,Mg,HydPark,2.1,583,DOE_data_url
Mg0.56Al0.34Ni0.05Y0.05,Mg,HydPark,2.6,583,DOE_data_url
Mg0.56Al0.34Y0.1,Mg,HydPark,3.3,583,DOE_data_url
Mg0.59Al0.36La0.05,Mg,HydPark,3,583,DOE_data_url
Mg0.59Al0.36Li0.05,Mg,HydPark,1.8,583,DOE_data_url
Mg0.59Al0.36Ni0.05,Mg,HydPark,3.4,583,DOE_data_url
Mg0.59Al0.36Y0.05,Mg,HydPark,2,583,DOE_data_url
Mg0.62Al0.38,Mg,HydPark,2.3,583,DOE_data_url
Mg0.675Li0.2Si0.125,Mg,HydPark,1.6,583,DOE_data_url
Mg0.67Li0.11Ni0.11Sn0.06Cu0.06,Mg,HydPark,1.7,583,DOE_data_url
Mg0.6Al0.4,Mg,HydPark,1,583,DOE_data_url
Mg0.725Li0.1Ni0.1Sn0.025Zn0.025Cu0.025,Mg,HydPark,1.4,583,DOE_data_url
Mg0.725Li0.1Ni0.1Sn0.05Cu0.025,Mg,HydPark,1.5,583,DOE_data_url
Mg0.72Li0.28,Mg,HydPark,5.5,623,DOE_data_url
Mg0.75Li0.1Ni0.05Sn0.05Cu0.05,Mg,HydPark,1.3,583,DOE_data_url
Mg0.75Li0.1Ni0.1Cu0.05,Mg,HydPark,1.9,583,DOE_data_url
Mg0.75Li0.1Ni0.1Sn0.05,Mg,HydPark,1.9,583,DOE_data_url
Mg0.75Zn0.1Ni0.05,Mg,HydPark,3,572,DOE_data_url
Mg0.7Li0.1Ni0.1Cu0.1,Mg,HydPark,1.6,583,DOE_data_url
Mg0.7Li0.1Ni0.1Sn0.05Zn0.05,Mg,HydPark,1.5,583,DOE_data_url
Mg0.7Li0.1Ni0.1Sn0.1,Mg,HydPark,2.3,583,DOE_data_url
Mg0.7Li0.2Cu0.1,Mg,HydPark,0.7,583,DOE_data_url
Mg0.7Li0.2Sn0.1,Mg,HydPark,0.6,583,DOE_data_url
Mg0.7Li0.2Zn0.1,Mg,HydPark,1.1,583,DOE_data_url
Mg0.8275Ni0.05Cu0.0775Zn0.045,Mg,HydPark,3.8,572,DOE_data_url
Mg0.845Ni0.05Cu0.1Y0.005,Mg,HydPark,2.9,572,DOE_data_url
Mg0.85Cu0.1Ni0.05,Mg,HydPark,3.1,572,DOE_data_url
