Composition,Alloy_class,Dataset,temperature(K),Citation,log_H2_W% (max)
Mg1.5Ni1,Mg,HydPark,573,DOE_data_url,1.2809338454620642
Mg0.872Al0.128,Mg,HydPark,625,DOE_data_url,2.0412203288596382
Mg0.996Ni0.004,Mg,HydPark,573,DOE_data_url,1.7227665977411035
Mg0.807Al0.193,Mg,HydPark,625,DOE_data_url,2.028148247292285
Mg0.879Ni0.121,Mg,HydPark,596,DOE_data_url,1.9021075263969205
Mg0.882Cu0.118,Mg,HydPark,603,DOE_data_url,1.840549633397487
Mg0.874La0.021Ni0.105,Mg,HydPark,583,DOE_data_url,1.840549633397487
Mg0.874La0.021Ni0.105,Mg,HydPark,573,DOE_data_url,1.8082887711792655
Mg0.748La0.042Ni0.21,Mg,HydPark,573,DOE_data_url,1.6094379124341003
Mg0.733Zr0.089Fe0.124Cr0.053,Mg,HydPark,573,DOE_data_url,1.4816045409242156
Mg0.979Ni0.021,Mg,HydPark,573,DOE_data_url,1.9315214116032138
Mg0.992Tm0.008,Mg,HydPark,573,DOE_data_url,1.7578579175523736
Mg0.976V0.024,Mg,HydPark,573,DOE_data_url,1.8870696490323797
Mg0.976V0.024,Mg,HydPark,583,DOE_data_url,1.916922612182061
Mg0.335Al0.622La0.044,Mg,HydPark,623,DOE_data_url,0.9932517730102833
Mg0.345Al0.609La0.044,Mg,HydPark,623,DOE_data_url,1.1314021114911006
Mg0.364Al0.591La0.046,Mg,HydPark,623,DOE_data_url,1.1939224684724346
Mg0.56Al0.34La0.05Y0.05,Mg,HydPark,583,DOE_data_url,1.410986973710262
Mg0.56Al0.34La0.1,Mg,HydPark,583,DOE_data_url,1.1314021114911006
Mg0.56Al0.34Ni0.05Y0.05,Mg,HydPark,583,DOE_data_url,1.2809338454620642
Mg0.56Al0.34Y0.1,Mg,HydPark,583,DOE_data_url,1.4586150226995167
Mg0.59Al0.36La0.05,Mg,HydPark,583,DOE_data_url,1.3862943611198906
Mg0.59Al0.36Li0.05,Mg,HydPark,583,DOE_data_url,1.0296194171811581
Mg0.59Al0.36Ni0.05,Mg,HydPark,583,DOE_data_url,1.4816045409242156
Mg0.59Al0.36Y0.05,Mg,HydPark,583,DOE_data_url,1.0986122886681098
