Model,Fold,R2,RMSE,MAE,Weighted,Group
Ridge,1,0.7304717982154607,0.16756537708851466,0.12751607563147976,3.5751424750417806,Linear
Ridge,2,0.7437122449871107,0.15224047416675615,0.11527532019299604,3.916180840335965,Linear
Ridge,3,0.741247556951969,0.17081133453812927,0.12497458251516948,3.6453993541204923,Linear
Ridge,4,0.7675112901980001,0.15284053813761883,0.11000617744867802,4.096666208770685,Linear
Ridge,5,0.7309836843069916,0.17231466827387157,0.12224580111825985,3.710686236304068,Linear
Lasso,1,-4.839752855811952e-06,0.32276262005165524,0.24060267630306875,1.662488994185824,Linear
Lasso,2,-0.00011836865034187127,0.3007404889089915,0.2284317866004015,1.7509987662195694,Linear
Lasso,3,-1.8347628849557651e-06,0.3357954867816419,0.2475781535918656,1.6156503376751008,Linear
Lasso,4,-1.0673368791014326e-05,0.3169858981993912,0.23760002838988242,1.6834950783254883,Linear
Lasso,5,-3.5447923123044234e-05,0.3322313686677071,0.24542580040167974,1.62979922829792,Linear
ElasticNet,1,-4.839752855811952e-06,0.32276262005165524,0.24060267630306875,1.662488994185824,Linear
ElasticNet,2,-0.00011836865034187127,0.3007404889089915,0.2284317866004015,1.7509987662195694,Linear
ElasticNet,3,-1.8347628849557651e-06,0.3357954867816419,0.2475781535918656,1.6156503376751008,Linear
ElasticNet,4,-1.0673368791014326e-05,0.3169858981993912,0.23760002838988242,1.6834950783254883,Linear
ElasticNet,5,-3.5447923123044234e-05,0.3322313686677071,0.24542580040167974,1.62979922829792,Linear
BayesianRidge,1,0.7313301705690345,0.16729833975014893,0.12728556877190067,3.581338170782418,Linear
BayesianRidge,2,0.7360786886226865,0.1544910873071922,0.11642909347195882,3.8772146308340214,Linear
BayesianRidge,3,0.7442073647565812,0.16983158954755703,0.12480874639285958,3.6514280138385735,Linear
BayesianRidge,4,0.7666338767748719,0.1531286769691279,0.11062823868400987,4.075693680613844,Linear
BayesianRidge,5,0.7306357830161689,0.17242605394580843,0.12230441634051532,3.708909321284297,Linear
DecisionTree,1,0.7327669822710142,0.16685039505484522,0.11428806670992245,3.9395881478541157,Tree
DecisionTree,2,0.7076091643398181,0.1626103100040012,0.11036602057439993,4.048869409519589,Tree
DecisionTree,3,0.7676542234470799,0.16186086151083526,0.11119704449744588,4.057810444020771,Tree
DecisionTree,4,0.8048453888068979,0.14003191665349615,0.09450156292241314,4.715641461483143,Tree
DecisionTree,5,0.78719224519222,0.15325923835797525,0.09901020367017879,4.512302996595113,Tree
RandomForest,1,0.8579218094213827,0.12165946157133206,0.08041780264442722,5.488776086114894,Tree
RandomForest,2,0.8036407046178741,0.13325758304851068,0.08984308700410537,4.934391190573817,Tree
RandomForest,3,0.8731726562924123,0.11958615561061786,0.08738641202205914,5.101274271255914,Tree
RandomForest,4,0.8751061636213578,0.11202323949898163,0.08089071354378788,5.470007097435468,Tree
RandomForest,5,0.87680140459192,0.1166100056169409,0.0774784999202989,5.688803409808911,Tree
ExtraTrees,1,0.8667801737349241,0.11780578370341449,0.07928461056175583,5.565183381542276,Tree
ExtraTrees,2,0.8499440283987725,0.11649112545095053,0.07785749405088614,5.647557921571478,Tree
ExtraTrees,3,0.8441282167119181,0.13257395373712455,0.09219932415609261,4.844903525462966,Tree
ExtraTrees,4,0.8912250404524551,0.10454471659977484,0.0757780704715299,5.813307011008474,Tree
ExtraTrees,5,0.8802045834394168,0.1149881373501677,0.07387251684776365,5.942856362353039,Tree
GradientBoosting,1,0.835735562795479,0.13081391888501945,0.08943929936896561,4.973748285765875,Boosting
GradientBoosting,2,0.805410030596632,0.13265585539955924,0.09348231630568946,4.762130151823289,Boosting
GradientBoosting,3,0.849272823660796,0.13036777036799135,0.09355759979564864,4.785004715275388,Boosting
