Feature,PearsonR
avg_is_alkaline,0.6726844310703158
temperature(K),0.5002177184042442
avg_polzbl_divi_atom_mass,0.47440361672539183
range_Density_(g/mL),0.1610085579330226
range_heat_of_vaporization_(kJ/mol)_,0.13593985467422542
range_specific_heat_(J/g_K)_,0.11784978732375091
dev_specific_heat_(J/g_K)_,0.05802768075305598
dev_heat_of_vaporization_(kJ/mol)_,0.020810172376673274
dev_bp_divi_atom_mass,-0.14332244957313728
range_Mendeleev_Number,-0.14353368823850227
range_Atomic_Weight,-0.14808642387820536
dev_Gordy_electonegativity,-0.17163550052800686
range_Mulliken_EN,-0.21459744380134688
avg_Number_of_unfilled_s_valence_electrons,-0.22704104855852203
dev_atom_mass_mult_therm_cond,-0.24344942566676575
dev_gilmor_number_of_valence_electron,-0.2513156608177263
range_first_ion_en_mult_X,-0.32979260997458787
dev_Pauling_Electronegativity,-0.34507175720044353
dev_voro_coord_divi_mol_vol,-0.3613765681344743
dev_Zunger_radii_sum,-0.40443596454330066
dev_Covalent_Radius,-0.4136787650749582
avg_valence_d,-0.7125034045333525
