Model,Compared_To,t_stat,p_value_raw,p_value_adj
AdaBoost,ExtraTrees,8.218146632177298,0.0011949726176320773,0.002255849900909802
BayesianRidge,ExtraTrees,14.565561749486768,0.00012921622327736752,0.0004463218291435148
CatBoost,ExtraTrees,-0.6741320413117926,0.5371793146305467,0.5371793146305467
DecisionTree,ExtraTrees,8.012733026207783,0.0013159124421973844,0.002255849900909802
ElasticNet,ExtraTrees,97.75626391541655,6.565532529388344e-08,3.939319517633007e-07
GradientBoosting,ExtraTrees,2.430779442394958,0.07192041226372513,0.08630449471647016
KNN,ExtraTrees,9.842880920180244,0.0005975212800591864,0.0014340510721420473
Lasso,ExtraTrees,97.75626391541655,6.565532529388344e-08,3.939319517633007e-07
MLP,ExtraTrees,4.396113353362434,0.011726619445905997,0.016032554170026744
RandomForest,ExtraTrees,0.7553161145721199,0.49209625607333607,0.5368322793527303
Ridge,ExtraTrees,14.053229603026825,0.00014877394304783827,0.0004463218291435148
SVR,ExtraTrees,4.363998846180194,0.012024415627520057,0.016032554170026744
