Feature,MeanAbsSHAP
avg_valence_d,0.17865691612108425
avg_is_alkaline,0.1130294155181973
avg_polzbl_divi_atom_mass,0.025684168937874806
dev_Pauling_Electronegativity,0.02514790008664807
dev_bp_divi_atom_mass,0.022807910398168686
range_Mendeleev_Number,0.022704221003343576
range_Density_(g/mL),0.02184057936379282
dev_atom_mass_mult_therm_cond,0.017498172975112653
range_first_ion_en_mult_X,0.01591785133616306
range_Atomic_Weight,0.015419409298711176
range_Mulliken_EN,0.014233663256666267
dev_Zunger_radii_sum,0.00953270642858558
dev_voro_coord_divi_mol_vol,0.008861763851772047
avg_Number_of_unfilled_s_valence_electrons,0.008268785035448523
range_heat_of_vaporization_(kJ/mol)_,0.008028068224332855
dev_gilmor_number_of_valence_electron,0.005665958740992389
temperature(K),0.005373334639689916
range_specific_heat_(J/g_K)_,0.0051494235154678596
dev_heat_of_vaporization_(kJ/mol)_,0.003883040584958953
dev_Covalent_Radius,0.003350701029323289
dev_Gordy_electonegativity,0.002614621989723432
dev_specific_heat_(J/g_K)_,0.0018954321168944987
