Interacting_Feature,Mean_Abs_Interaction
avg_polzbl_divi_atom_mass,0.013007909745561142
dev_atom_mass_mult_therm_cond,0.0012436568838496524
dev_specific_heat_(J/g_K)_,0.0009979933017660882
avg_valence_d,0.0006629649879027964
dev_bp_divi_atom_mass,0.0004658912451742139
range_specific_heat_(J/g_K)_,0.00038778813929492804
range_Mulliken_EN,0.0003770360049978995
range_Atomic_Weight,0.0003765055721476901
range_Mendeleev_Number,0.0003053605492957184
dev_gilmor_number_of_valence_electron,0.00018994843816031834
dev_Zunger_radii_sum,0.00018231882673545096
range_first_ion_en_mult_X,0.00018087886453140877
dev_voro_coord_divi_mol_vol,0.00016736463067610501
dev_Pauling_Electronegativity,0.00013133374020633391
temperature(K),0.0001268790259040692
avg_Number_of_unfilled_s_valence_electrons,0.00010364641455155369
dev_heat_of_vaporization_(kJ/mol)_,9.346908567757594e-05
dev_Covalent_Radius,6.727785395060555e-05
range_Density_(g/mL),6.585655678857225e-05
dev_Gordy_electonegativity,6.010483195699267e-05
range_heat_of_vaporization_(kJ/mol)_,4.592204441944653e-05
