Interacting_Feature,Mean_Abs_Interaction
avg_polzbl_divi_atom_mass,0.01262193352502765
dev_Zunger_radii_sum,0.002472108581047041
dev_bp_divi_atom_mass,0.0017400427499377163
dev_atom_mass_mult_therm_cond,0.0014844676636618437
range_Mulliken_EN,0.0008298603120793606
avg_is_alkaline,0.000662964987902796
range_specific_heat_(J/g_K)_,0.0004932064528961928
dev_Pauling_Electronegativity,0.0004910056086201842
range_Mendeleev_Number,0.00033407233544046624
dev_voro_coord_divi_mol_vol,0.00032800574826188656
dev_heat_of_vaporization_(kJ/mol)_,0.00031748841094737974
dev_Covalent_Radius,0.00028684125086032803
range_first_ion_en_mult_X,0.00023619337868084034
dev_specific_heat_(J/g_K)_,0.0002151054185642374
dev_Gordy_electonegativity,0.0002074633710705089
range_heat_of_vaporization_(kJ/mol)_,0.00019578479513197565
dev_gilmor_number_of_valence_electron,0.00019135490195231592
range_Atomic_Weight,0.00014376668435231896
avg_Number_of_unfilled_s_valence_electrons,0.00011607340750263844
temperature(K),0.00010907609646407731
range_Density_(g/mL),0.00010852618589027986
